"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Открытие формы документа ""Счет-фактура на неподтвержденную реализацию по ставке 0%"" (СчетФактураНаНеподтвержденнуюРеализацию0)","1","0","Открытие формы документа ""Счет-фактура на неподтвержденную реализацию по ставке 0%"" (СчетФактураНаНеподтвержденнуюРеализацию0)","0"
"0","","0","Открытие формы регистра сведений ""Состояния печатных документов"" (СостоянияПечатныхДокументов)","1","0","Открытие формы регистра сведений ""Состояния печатных документов"" (СостоянияПечатныхДокументов)","0"
"0","","0","Копирование элемента справочника ""Настройки продаж"" (НастройкиПродажДляПользователей)","1","0","Копирование элемента справочника ""Настройки продаж"" (НастройкиПродажДляПользователей)","0"
"0","","0","Открытие формы обработки ""Обработка печатных документов"" (ОбработкаПечатныхДокументов)","1","0","Открытие формы обработки ""Обработка печатных документов"" (ОбработкаПечатныхДокументов)","0"
"0","","0","Копирование элемента справочника ""Типы клиентов (CISLINK)"" (CISLink_ТипыКлиентов)","1","0","Копирование элемента справочника ""Типы клиентов (CISLINK)"" (CISLink_ТипыКлиентов)","0"
"0","","0","Открытие формы справочника ""Часовые пояса россии"" (ЧасовыеПоясаРоссии)","1","0","Открытие формы справочника ""Часовые пояса россии"" (ЧасовыеПоясаРоссии)","0"
"0","","0","Открытие формы регистра сведений ""Подписки получателей"" (ПодпискиПолучателей)","1","0","Открытие формы регистра сведений ""Подписки получателей"" (ПодпискиПолучателей)","0"
"0","","0","Открытие формы справочника ""Шаблоны генерации промокодов"" (ШаблоныГенерацииПромокодов)","1","0","Открытие формы справочника ""Шаблоны генерации промокодов"" (ШаблоныГенерацииПромокодов)","0"
"0","","0","Открытие формы списка регистра сведений ""Клиенты сегмента периодический"" (CRM_ПартнерыСегментаПериодический)","1","0","Открытие формы списка регистра сведений ""Клиенты сегмента периодический"" (CRM_ПартнерыСегментаПериодический)","0"
"0","","0","Открытие формы списка регистра сведений ""ММП: Значения аналитик"" (mmAnalyticsValues)","1","0","Открытие формы списка регистра сведений ""ММП: Значения аналитик"" (mmAnalyticsValues)","0"
"0","","0","Открытие формы справочника ""Настройки заполнения планов расхода"" (НастройкиЗаполненияПлановРасхода)","1","0","Открытие формы справочника ""Настройки заполнения планов расхода"" (НастройкиЗаполненияПлановРасхода)","0"
"0","","0","Ввод на основании документа ""Прочее оприходование товаров""","1","0","Ввод на основании документа ""Прочее оприходование товаров""","0"
"0","","0","Открытие формы документа ""Упаковочный лист"" (УпаковочныйЛист)","1","0","Открытие формы документа ""Упаковочный лист"" (УпаковочныйЛист)","0"
"0","","0","Открытие формы списка справочника ""Товарные категории"" (ТоварныеКатегории)","1","0","Открытие формы списка справочника ""Товарные категории"" (ТоварныеКатегории)","0"
"0","","0","Открытие формы списка документа ""Факт продаж новый"" (ЯРВЕТ_ФактПродажНовый)","1","0","Открытие формы списка документа ""Факт продаж новый"" (ЯРВЕТ_ФактПродажНовый)","0"
"0","","0","Открытие формы списка справочника ""Категории эксплуатации"" (КатегорииЭксплуатации)","1","0","Открытие формы списка справочника ""Категории эксплуатации"" (КатегорииЭксплуатации)","0"
"0","","0","Открытие формы справочника ""Статьи движения денежных средств"" (СтатьиДвиженияДенежныхСредств)","1","0","Открытие формы справочника ""Статьи движения денежных средств"" (СтатьиДвиженияДенежныхСредств)","0"
"0","","0","Открытие формы списка регистра сведений ""Операции статистики"" (ОперацииСтатистики)","1","0","Открытие формы списка регистра сведений ""Операции статистики"" (ОперацииСтатистики)","0"
"0","","0","Открытие формы справочника ""Направления деятельности"" (НаправленияДеятельности)","1","0","Открытие формы справочника ""Направления деятельности"" (НаправленияДеятельности)","0"
"0","","0","Открытие формы списка справочника ""Группы настроек фин. учета номенклатуры"" (ГруппыФинансовогоУчетаНоменклатуры)","1","0","Открытие формы списка справочника ""Группы настроек фин. учета номенклатуры"" (ГруппыФинансовогоУчетаНоменклатуры)","0"
