"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1111","Открытие формы отчета ""Результаты согласования заявки на возврат товаров от клиента"" (РезультатыСогласованияЗаявкиНаВозвратТоваровОтКлиента)","","Wed Apr 23 13:37:52 MSK 2025","passed","Wed Apr 23 13:37:53 MSK 2025","","","",""
"","1131","Открытие формы списка документа ""Заявка на выдачу оборудования"" (ЗаявкаНаВыдачуОборудования)","","Wed Apr 23 12:43:07 MSK 2025","passed","Wed Apr 23 12:43:08 MSK 2025","","","",""
"","2312","Копирование элемента группы справочника ""Размеры одежды"" (ЯРВЕТ_РазмерыОдежды)","","Wed Apr 23 12:25:34 MSK 2025","passed","Wed Apr 23 12:25:36 MSK 2025","","","",""
"","1033","Открытие формы списка регистра сведений ""Сезонные коэффициенты"" (СезонныеКоэффициенты)","","Wed Apr 23 13:44:59 MSK 2025","passed","Wed Apr 23 13:45:00 MSK 2025","","","",""
"","1130","Открытие формы списка регистра сведений ""История состояния наличия"" (ИсторияСостоянияНаличия)","","Wed Apr 23 13:46:09 MSK 2025","passed","Wed Apr 23 13:46:10 MSK 2025","","","",""
"","1163","Открытие формы списка документа ""Таможенная декларация на импорт"" (ТаможеннаяДекларацияИмпорт)","","Wed Apr 23 12:42:36 MSK 2025","passed","Wed Apr 23 12:42:37 MSK 2025","","","",""
"","1049","Открытие формы списка справочника ""Направления развозки"" (АйТи_НаправленияРазвозки)","","Wed Apr 23 12:04:05 MSK 2025","passed","Wed Apr 23 12:04:06 MSK 2025","","","",""
"","2297","Копирование элемента справочника ""Внешние компоненты"" (ВнешниеКомпоненты)","","Wed Apr 23 12:12:13 MSK 2025","passed","Wed Apr 23 12:12:15 MSK 2025","","","",""
"","2559","Копирование элемента справочника ""Категории целей"" (КатегорииЦелей)","","Wed Apr 23 12:15:26 MSK 2025","passed","Wed Apr 23 12:15:29 MSK 2025","","","",""
"","1152","Открытие формы списка справочника ""Сегменты клиентов"" (СегментыПартнеров)","","Wed Apr 23 12:05:05 MSK 2025","passed","Wed Apr 23 12:05:06 MSK 2025","","","",""
"","12882","Печать элемента документа ""Реестр развозки"" (РеестрРазвозки)","","Wed Apr 23 13:03:57 MSK 2025","passed","Wed Apr 23 13:04:10 MSK 2025","","","",""
